,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
212,13.0,8,302.0,130.0,3870.0,15.0,76,1,ford f108
157,14.0,8,351.0,148.0,4657.0,13.5,75,1,ford ltd
342,32.3,4,97.0,67.0,2065.0,17.8,81,3,subaru
143,32.0,4,83.0,61.0,2003.0,19.0,74,3,datsun 710
314,19.1,6,225.0,90.0,3381.0,18.7,80,1,dodge aspen
191,24.0,6,200.0,81.0,3012.0,17.6,76,1,ford maverick
76,22.0,4,121.0,76.0,2511.0,18.0,72,2,volkswagen 411 (sw)
304,28.8,6,173.0,115.0,2595.0,11.3,79,1,chevrolet citation
332,35.0,4,122.0,88.0,2500.0,15.1,80,2,triumph tr7 coupe
121,24.0,4,121.0,110.0,2660.0,14.0,73,2,saab 99le
65,17.0,8,304.0,150.0,3672.0,11.5,72,1,amc ambassador sst
257,20.8,6,200.0,85.0,3070.0,16.7,78,1,mercury zephyr
288,15.5,8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw)
127,31.0,4,79.0,67.0,1950.0,19.0,74,3,datsun b210
122,20.0,6,156.0,122.0,2807.0,13.5,73,3,toyota mark ii
7,14.0,8,440.0,215.0,4312.0,8.5,70,1,plymouth fury iii
107,20.0,4,97.0,88.0,2279.0,19.0,73,3,toyota carina
11,14.0,8,340.0,160.0,3609.0,8.0,70,1,plymouth 'cuda 340
106,18.0,6,232.0,100.0,2789.0,15.0,73,1,amc gremlin
362,28.0,4,112.0,88.0,2605.0,19.6,82,1,chevrolet cavalier
114,15.0,8,350.0,145.0,4082.0,13.0,73,1,chevrolet monte carlo s
182,25.0,4,140.0,92.0,2572.0,14.9,76,1,capri ii
371,31.0,4,91.0,68.0,1970.0,17.6,82,3,mazda glc custom
380,25.0,6,181.0,110.0,2945.0,16.4,82,1,buick century limited
273,17.0,6,163.0,125.0,3140.0,13.6,78,2,volvo 264gl
88,15.0,8,318.0,150.0,3777.0,12.5,73,1,dodge coronet custom
338,30.0,4,135.0,84.0,2385.0,12.9,81,1,plymouth reliant
359,26.6,8,350.0,105.0,3725.0,19.0,81,1,oldsmobile cutlass ls
10,15.0,8,383.0,170.0,3563.0,10.0,70,1,dodge challenger se
17,21.0,6,200.0,85.0,2587.0,16.0,70,1,ford maverick
83,27.0,4,97.0,88.0,2100.0,16.5,72,3,toyota corolla 1600 (sw)
29,27.0,4,97.0,88.0,2130.0,14.5,71,3,datsun pl510
9,15.0,8,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl
162,21.0,6,231.0,110.0,3039.0,15.0,75,1,buick skyhawk
261,17.7,6,231.0,165.0,3445.0,13.4,78,1,buick regal sport coupe (turbo)
166,23.0,4,140.0,83.0,2639.0,17.0,75,1,ford pinto
211,13.0,8,350.0,145.0,4055.0,12.0,76,1,chevy c10
222,15.0,8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham
379,38.0,4,91.0,67.0,1995.0,16.2,82,3,datsun 310 gx
285,16.5,8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis
195,29.0,4,90.0,70.0,1937.0,14.2,76,2,vw rabbit
46,19.0,6,250.0,100.0,3282.0,15.0,71,1,pontiac firebird
98,18.0,6,232.0,100.0,2945.0,16.0,73,1,amc hornet
126,15.0,6,250.0,100.0,3336.0,17.0,74,1,chevrolet nova
131,16.0,6,250.0,100.0,3781.0,17.0,74,1,chevrolet chevelle malibu classic
63,15.0,8,318.0,150.0,4135.0,13.5,72,1,plymouth fury iii
367,27.0,4,151.0,90.0,2735.0,18.0,82,1,pontiac phoenix
360,20.2,6,200.0,88.0,3060.0,17.1,81,1,ford granada gl
19,26.0,4,97.0,46.0,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan
129,32.0,4,71.0,65.0,1836.0,21.0,74,3,toyota corolla 1200
326,30.0,4,146.0,67.0,3250.0,21.8,80,2,mercedes-benz 240d
283,17.0,8,305.0,130.0,3840.0,15.4,79,1,chevrolet caprice classic
281,20.2,6,232.0,90.0,3265.0,18.2,79,1,amc concord dl 6
269,23.2,4,156.0,105.0,2745.0,16.7,78,1,plymouth sapporo
197,20.0,6,225.0,100.0,3651.0,17.7,76,1,dodge aspen se
376,34.0,4,108.0,70.0,2245.0,16.9,82,3,toyota corolla
217,25.5,4,122.0,96.0,2300.0,15.5,77,1,plymouth arrow gs
52,31.0,4,71.0,65.0,1773.0,19.0,71,3,toyota corolla 1200
240,21.5,4,121.0,110.0,2600.0,12.8,77,2,bmw 320i
225,19.0,6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom
343,37.0,4,85.0,65.0,1975.0,19.4,81,3,datsun 210 mpg
31,25.0,4,113.0,95.0,2228.0,14.0,71,3,toyota corona
32,19.0,6,232.0,100.0,2634.0,13.0,71,1,amc gremlin
369,36.0,4,105.0,74.0,1980.0,15.3,82,2,volkswagen rabbit l
38,14.0,8,400.0,175.0,4464.0,11.5,71,1,pontiac catalina brougham
284,17.6,8,302.0,129.0,3725.0,13.4,79,1,ford ltd landau
309,32.1,4,98.0,70.0,2120.0,15.5,80,1,chevrolet chevette
149,31.0,4,79.0,67.0,2000.0,16.0,74,2,fiat x1.9
42,13.0,8,400.0,170.0,4746.0,12.0,71,1,ford country squire (sw)
112,21.0,6,155.0,107.0,2472.0,14.0,73,1,mercury capri v6
246,36.1,4,91.0,60.0,1800.0,16.4,78,3,honda civic cvcc
247,19.9,8,260.0,110.0,3365.0,15.5,78,1,oldsmobile cutlass salon brougham
196,33.0,4,91.0,53.0,1795.0,17.4,76,3,honda civic
243,36.1,4,98.0,66.0,1800.0,14.4,78,1,ford fiesta
172,18.0,6,171.0,97.0,2984.0,14.5,75,1,ford pinto
194,24.5,4,98.0,60.0,2164.0,22.1,76,1,chevrolet woody
48,23.0,4,122.0,86.0,2220.0,14.0,71,1,mercury capri 2000
152,15.0,6,250.0,72.0,3432.0,21.0,75,1,mercury monarch
291,31.9,4,89.0,71.0,1925.0,14.0,79,2,vw rabbit custom
248,19.4,8,318.0,140.0,3735.0,13.2,78,1,dodge diplomat
344,37.7,4,89.0,62.0,2050.0,17.3,81,3,toyota tercel
110,18.0,3,70.0,90.0,2124.0,13.5,73,3,maxda rx3
275,16.2,6,163.0,133.0,3410.0,15.8,78,2,peugeot 604sl
215,30.0,4,111.0,80.0,2155.0,14.8,77,1,buick opel isuzu deluxe
264,30.0,4,98.0,68.0,2155.0,16.5,78,1,chevrolet chevette
297,27.2,4,141.0,71.0,3190.0,24.8,79,2,peugeot 504
68,12.0,8,350.0,160.0,4456.0,13.5,72,1,oldsmobile delta 88 royale
169,24.0,4,134.0,96.0,2702.0,13.5,75,3,toyota corona
286,18.2,8,318.0,135.0,3830.0,15.2,79,1,dodge st. regis
59,20.0,4,140.0,90.0,2408.0,19.5,72,1,chevrolet vega
203,28.0,4,97.0,75.0,2155.0,16.4,76,3,toyota corolla
118,20.0,4,114.0,91.0,2582.0,14.0,73,2,audi 100ls
79,22.0,4,122.0,86.0,2395.0,16.0,72,1,ford pinto (sw)
94,12.0,8,455.0,225.0,4951.0,11.0,73,1,buick electra 225 custom
86,13.0,8,350.0,145.0,3988.0,13.0,73,1,chevrolet malibu
56,24.0,4,113.0,95.0,2278.0,15.5,72,3,toyota corona hardtop
348,29.9,4,98.0,65.0,2380.0,20.7,81,1,ford escort 2h
193,29.0,4,85.0,52.0,2035.0,22.2,76,1,chevrolet chevette
218,33.5,4,85.0,70.0,1945.0,16.8,77,3,datsun f-10 hatchback
12,15.0,8,400.0,150.0,3761.0,9.5,70,1,chevrolet monte carlo
341,35.1,4,81.0,60.0,1760.0,16.1,81,3,honda civic 1300
61,13.0,8,350.0,165.0,4274.0,12.0,72,1,chevrolet impala
132,16.0,6,258.0,110.0,3632.0,18.0,74,1,amc matador
168,23.0,4,140.0,78.0,2592.0,18.5,75,1,pontiac astro
87,14.0,8,302.0,137.0,4042.0,14.5,73,1,ford gran torino
378,32.0,4,91.0,67.0,1965.0,15.7,82,3,honda civic (auto)
179,33.0,4,91.0,53.0,1795.0,17.5,75,3,honda civic cvcc
226,18.5,6,250.0,98.0,3525.0,19.0,77,1,ford granada
44,18.0,6,258.0,110.0,2962.0,13.5,71,1,amc hornet sportabout (sw)
312,26.4,4,140.0,88.0,2870.0,18.1,80,1,ford fairmont
199,18.5,6,250.0,110.0,3645.0,16.2,76,1,pontiac ventura sj
47,18.0,6,250.0,88.0,3139.0,14.5,71,1,ford mustang
58,23.0,4,97.0,54.0,2254.0,23.5,72,2,volkswagen type 3
296,23.0,8,350.0,125.0,3900.0,17.4,79,1,cadillac eldorado
224,20.5,6,231.0,105.0,3425.0,16.9,77,1,buick skylark
229,15.5,8,400.0,190.0,4325.0,12.2,77,1,chrysler cordoba
268,21.1,4,134.0,95.0,2515.0,14.8,78,3,toyota celica gt liftback
151,18.0,6,250.0,105.0,3459.0,16.0,75,1,chevrolet nova
368,24.0,4,140.0,92.0,2865.0,16.4,82,1,ford fairmont futura
174,19.0,6,232.0,90.0,3211.0,17.0,75,1,amc pacer
27,11.0,8,318.0,210.0,4382.0,13.5,70,1,dodge d200
293,35.7,4,98.0,80.0,1915.0,14.4,79,1,dodge colt hatchback custom
324,43.4,4,90.0,48.0,2335.0,23.7,80,2,vw dasher (diesel)
167,20.0,6,232.0,100.0,2914.0,16.0,75,1,amc gremlin
78,26.0,4,96.0,69.0,2189.0,18.0,72,2,renault 12 (sw)
334,27.2,4,135.0,84.0,2490.0,15.7,81,1,plymouth reliant
228,15.5,8,350.0,170.0,4165.0,11.4,77,1,chevrolet monte carlo landau
51,30.0,4,88.0,76.0,2065.0,14.5,71,2,fiat 124b
97,16.0,6,250.0,100.0,3278.0,18.0,73,1,chevrolet nova custom
6,14.0,8,454.0,220.0,4354.0,9.0,70,1,chevrolet impala
128,26.0,4,122.0,80.0,2451.0,16.5,74,1,ford pinto
200,17.5,6,258.0,95.0,3193.0,17.8,76,1,amc pacer d/l
142,31.0,4,76.0,52.0,1649.0,16.5,74,3,toyota corona
325,36.4,5,121.0,67.0,2950.0,19.9,80,2,audi 5000s (diesel)
140,26.0,4,79.0,67.0,1963.0,15.5,74,2,volkswagen dasher
141,26.0,4,97.0,78.0,2300.0,14.5,74,2,opel manta
337,23.5,6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation
173,29.0,4,90.0,70.0,1937.0,14.0,75,2,volkswagen rabbit
374,36.0,4,120.0,88.0,2160.0,14.5,82,3,nissan stanza xe
329,29.8,4,89.0,62.0,1845.0,15.3,80,2,vokswagen rabbit
153,15.0,6,250.0,72.0,3158.0,19.5,75,1,ford maverick
84,13.0,8,350.0,175.0,4100.0,13.0,73,1,buick century 350
302,37.3,4,91.0,69.0,2130.0,14.7,79,2,fiat strada custom
70,19.0,3,70.0,97.0,2330.0,13.5,72,3,mazda rx2 coupe
321,27.9,4,156.0,105.0,2800.0,14.4,80,1,dodge colt
306,33.5,4,151.0,90.0,2556.0,13.2,79,1,pontiac phoenix
265,27.5,4,134.0,95.0,2560.0,14.2,78,3,toyota corona
219,17.5,8,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic
176,23.0,4,120.0,88.0,2957.0,17.0,75,2,peugeot 504
274,21.6,4,121.0,115.0,2795.0,15.7,78,2,saab 99gle
336,25.8,4,156.0,92.0,2620.0,14.4,81,1,dodge aries wagon (sw)
209,16.5,6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s
235,30.5,4,98.0,63.0,2051.0,17.0,77,1,chevrolet chevette
71,15.0,8,304.0,150.0,3892.0,12.5,72,1,amc matador (sw)
202,32.0,4,85.0,70.0,1990.0,17.0,76,3,datsun b-210
186,16.0,8,318.0,150.0,4190.0,13.0,76,1,dodge coronet brougham
319,32.2,4,108.0,75.0,2265.0,15.2,80,3,toyota corolla
99,18.0,6,250.0,88.0,3021.0,16.5,73,1,ford maverick
18,27.0,4,97.0,88.0,2130.0,14.5,70,3,datsun pl510
124,20.0,6,198.0,95.0,3102.0,16.5,74,1,plymouth duster
134,16.0,8,302.0,140.0,4141.0,14.0,74,1,ford gran torino
80,28.0,4,97.0,92.0,2288.0,17.0,72,3,datsun 510 (sw)
383,22.0,6,232.0,112.0,2835.0,14.7,82,1,ford granada l
317,31.3,4,120.0,75.0,2542.0,17.5,80,3,mazda 626
266,27.2,4,119.0,97.0,2300.0,14.7,78,3,datsun 510
364,34.0,4,112.0,88.0,2395.0,18.0,82,1,chevrolet cavalier 2-door
234,25.5,4,140.0,89.0,2755.0,15.8,77,1,ford mustang ii 2+2
145,24.0,4,90.0,75.0,2108.0,15.5,74,2,fiat 128
3,16.0,8,304.0,150.0,3433.0,12.0,70,1,amc rebel sst
154,16.0,8,400.0,170.0,4668.0,11.5,75,1,pontiac catalina
146,26.0,4,116.0,75.0,2246.0,14.0,74,2,fiat 124 tc
139,29.0,4,98.0,83.0,2219.0,16.5,74,2,audi fox
208,19.0,6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii
0,18.0,8,307.0,130.0,3504.0,12.0,70,1,chevrolet chevelle malibu
50,30.0,4,79.0,70.0,2074.0,19.5,71,2,peugeot 304
256,20.6,6,231.0,105.0,3380.0,15.8,78,1,buick century special
109,22.0,4,108.0,94.0,2379.0,16.5,73,3,datsun 610
205,20.0,4,130.0,102.0,3150.0,15.7,76,2,volvo 245
45,22.0,4,140.0,72.0,2408.0,19.0,71,1,chevrolet vega (sw)
254,20.5,6,225.0,100.0,3430.0,17.2,78,1,plymouth volare
119,19.0,4,121.0,112.0,2868.0,15.5,73,2,volvo 144ea
14,24.0,4,113.0,95.0,2372.0,15.0,70,3,toyota corona mark ii
192,22.5,6,232.0,90.0,3085.0,17.6,76,1,amc hornet
361,17.6,6,225.0,85.0,3465.0,16.6,81,1,chrysler lebaron salon
255,19.4,6,232.0,90.0,3210.0,17.2,78,1,amc concord
270,23.8,4,151.0,85.0,2855.0,17.6,78,1,oldsmobile starfire sx
25,10.0,8,360.0,215.0,4615.0,14.0,70,1,ford f250
95,13.0,8,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham
57,25.0,4,97.5,80.0,2126.0,17.0,72,1,dodge colt hardtop
245,39.4,4,85.0,70.0,2070.0,18.6,78,3,datsun b210 gx
43,13.0,8,400.0,175.0,5140.0,12.0,71,1,pontiac safari (sw)
315,34.3,4,97.0,78.0,2188.0,15.8,80,2,audi 4000
267,30.9,4,105.0,75.0,2230.0,14.5,78,1,dodge omni
160,15.0,6,258.0,110.0,3730.0,19.0,75,1,amc matador
375,36.0,4,107.0,75.0,2205.0,14.5,82,3,honda accord
82,28.0,4,98.0,80.0,2164.0,15.0,72,1,dodge colt (sw)
35,19.0,6,250.0,88.0,3302.0,15.5,71,1,ford torino 500
252,20.2,6,200.0,85.0,2965.0,15.8,78,1,ford fairmont (auto)
116,29.0,4,68.0,49.0,1867.0,19.5,73,2,fiat 128
104,13.0,8,360.0,170.0,4654.0,13.0,73,1,plymouth custom suburb
305,26.8,6,173.0,115.0,2700.0,12.9,79,1,oldsmobile omega brougham
24,21.0,6,199.0,90.0,2648.0,15.0,70,1,amc gremlin
292,34.1,4,86.0,65.0,1975.0,15.2,79,3,maxda glc deluxe
333,32.4,4,107.0,72.0,2290.0,17.0,80,3,honda accord
20,25.0,4,110.0,87.0,2672.0,17.5,70,2,peugeot 504
308,38.1,4,89.0,60.0,1968.0,18.8,80,3,toyota corolla tercel
181,25.0,4,116.0,81.0,2220.0,16.9,76,2,opel 1900
278,21.5,6,231.0,115.0,3245.0,15.4,79,1,pontiac lemans v6
236,33.5,4,98.0,83.0,2075.0,15.9,77,1,dodge colt m/m
85,14.0,8,304.0,150.0,3672.0,11.5,73,1,amc matador
92,14.0,8,318.0,150.0,4237.0,14.5,73,1,plymouth fury gran sedan
249,20.2,8,302.0,139.0,3570.0,12.8,78,1,mercury monarch ghia
331,23.7,3,70.0,100.0,2420.0,12.5,80,3,mazda rx-7 gs
322,40.8,4,85.0,65.0,2110.0,19.2,80,3,datsun 210
335,26.6,4,151.0,84.0,2635.0,16.4,81,1,buick skylark
385,36.0,4,135.0,84.0,2370.0,13.0,82,1,dodge charger 2.2
77,21.0,4,120.0,87.0,2979.0,19.5,72,2,peugeot 504 (sw)
66,11.0,8,429.0,208.0,4633.0,11.0,72,1,mercury marquis
180,28.0,4,107.0,86.0,2464.0,15.5,76,2,fiat 131
74,14.0,8,318.0,150.0,4077.0,14.0,72,1,plymouth satellite custom (sw)
158,17.0,6,231.0,110.0,3907.0,21.0,75,1,buick century
323,44.3,4,90.0,48.0,2085.0,21.7,80,2,vw rabbit c (diesel)
349,33.0,4,105.0,74.0,2190.0,14.2,81,2,volkswagen jetta
81,23.0,4,120.0,97.0,2506.0,14.5,72,3,toyouta corona mark ii (sw)
372,38.0,4,105.0,63.0,2125.0,14.7,82,1,plymouth horizon miser
184,27.0,4,101.0,83.0,2202.0,15.3,76,2,renault 12tl
351,32.4,4,108.0,75.0,2350.0,16.8,81,3,toyota corolla
103,12.0,8,400.0,167.0,4906.0,12.5,73,1,ford country
201,29.5,4,97.0,71.0,1825.0,12.2,76,2,volkswagen rabbit
135,13.0,8,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw)
15,22.0,6,198.0,95.0,2833.0,15.5,70,1,plymouth duster
258,18.6,6,225.0,110.0,3620.0,18.7,78,1,dodge aspen
231,29.0,4,97.0,78.0,1940.0,14.5,77,2,volkswagen rabbit custom
358,22.4,6,231.0,110.0,3415.0,15.8,81,1,buick century
150,19.0,6,225.0,95.0,3264.0,16.0,75,1,plymouth valiant custom
214,31.5,4,98.0,68.0,2045.0,18.5,77,3,honda accord cvcc
113,26.0,4,98.0,90.0,2265.0,15.5,73,2,fiat 124 sport coupe
242,43.1,4,90.0,48.0,1985.0,21.5,78,2,volkswagen rabbit custom diesel
339,39.1,4,79.0,58.0,1755.0,16.9,81,3,toyota starlet
390,28.0,4,120.0,79.0,2625.0,18.6,82,1,ford ranger
183,26.0,4,98.0,79.0,2255.0,17.7,76,1,dodge colt
8,14.0,8,455.0,225.0,4425.0,10.0,70,1,pontiac catalina
